"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1957-12",97.44955,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-01",97.50165,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-02",97.64587,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-03",97.83219,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-04",98.01673,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-05",98.22446,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-06",98.48167,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-07",98.8196,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-08",99.21194,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-09",99.60853,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-10",99.97734,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-11",100.2616,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-12",100.3757,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-01",100.3198,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-02",100.1697,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-03",100.0095,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-04",99.88868,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-05",99.79889,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-06",99.8327,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-07",100.0781,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-08",100.6272,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-09",101.5144,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-10",102.5559,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-11",103.4734,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-12",104.0414,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-01",104.1083,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-02",103.7484,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-03",103.1871,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-04",102.5812,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-05",102.0343,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-06",101.5945,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-07",101.2751,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-08",101.0592,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-09",100.9166,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-10",100.8013,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-11",100.7144,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-12",100.6973,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-01",100.7294,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-02",100.7593,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-03",100.6848,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-04",100.4334,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-05",99.99776,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-06",99.39848,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-07",98.65923,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-08",97.87695,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-09",97.22578,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-10",96.80412,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-11",96.633,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-12",96.63541,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-01",96.73228,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-02",96.89641,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-03",97.10868,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-04",97.35323,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-05",97.56174,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-06",97.72128,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-07",97.90009,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-08",98.13004,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-09",98.37785,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-10",98.62443,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-11",98.8532,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-12",99.05579,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-01",99.25139,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-02",99.50267,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-03",99.81796,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-04",100.1578,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-05",100.4866,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-06",100.8002,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-07",101.1456,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-08",101.509,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-09",101.8468,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-10",102.1026,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-11",102.2277,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-12",102.239,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-01",102.1611,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-02",102.0353,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-03",101.9231,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-04",101.8862,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-05",101.9268,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-06",102.0402,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-07",102.1594,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-08",102.2217,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-09",102.1463,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-10",101.8757,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-11",101.4367,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-12",100.8984,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-01",100.3792,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-02",99.91061,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-03",99.46915,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-04",99.06939,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-05",98.78551,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-06",98.63676,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-07",98.60803,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-08",98.6959,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-09",98.89816,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-10",99.20056,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-11",99.56159,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-12",99.96001,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-01",100.3413,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-02",100.6341,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-03",100.7669,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-04",100.6365,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-05",100.1442,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-06",99.31754,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-07",98.27445,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-08",97.18577,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-09",96.2998,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-10",95.72184,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-11",95.48613,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-12",95.57899,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-01",95.93214,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-02",96.42596,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-03",97.0277,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-04",97.72272,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-05",98.44474,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-06",99.13499,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-07",99.73753,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-08",100.2517,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-09",100.6755,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-10",100.9633,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-11",101.0844,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-12",101.0335,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-01",100.8658,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-02",100.626,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-03",100.3514,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-04",100.1368,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-05",100.1088,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-06",100.2362,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-07",100.5095,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-08",100.8475,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-09",101.1209,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-10",101.2561,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-11",101.2043,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1968-12",100.9569,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-01",100.5698,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-02",100.1335,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-03",99.69023,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-04",99.24658,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-05",98.77306,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-06",98.30754,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-07",97.8878,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-08",97.53677,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-09",97.22676,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-10",96.99043,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-11",96.87465,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1969-12",96.92245,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-01",97.09685,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-02",97.31427,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-03",97.50031,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-04",97.60574,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-05",97.61699,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-06",97.56299,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-07",97.459,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-08",97.33817,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-09",97.24711,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-10",97.19688,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-11",97.19992,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1970-12",97.2738,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-01",97.42242,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-02",97.67143,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-03",98.06135,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-04",98.61449,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-05",99.28879,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-06",100.0555,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-07",100.9046,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-08",101.7562,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-09",102.5752,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-10",103.3334,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-11",104.0179,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1971-12",104.6308,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-01",105.1398,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-02",105.5963,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-03",106.0487,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-04",106.4377,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-05",106.6368,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-06",106.5958,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-07",106.4011,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-08",106.1606,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-09",105.9412,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-10",105.7901,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-11",105.6562,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1972-12",105.4888,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-01",105.2556,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-02",105.006,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-03",104.7599,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-04",104.5056,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-05",104.2185,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-06",103.8601,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-07",103.3535,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-08",102.6437,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-09",101.7181,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-10",100.6556,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-11",99.49928,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1973-12",98.33753,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-01",97.33145,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-02",96.61378,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-03",96.10999,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-04",95.74873,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-05",95.48517,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-06",95.23412,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-07",94.92842,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-08",94.61513,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-09",94.33814,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-10",94.09993,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-11",93.97378,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1974-12",94.03408,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-01",94.32166,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-02",94.78693,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-03",95.35224,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-04",95.95235,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-05",96.54624,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-06",97.08006,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-07",97.52446,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-08",97.91554,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-09",98.32103,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-10",98.70844,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-11",99.15543,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-12",99.6516,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-01",100.1545,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-02",100.5882,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-03",100.907,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-04",101.0638,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-05",101.0145,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-06",100.7763,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-07",100.4335,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-08",100.0381,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-09",99.66939,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-10",99.4303,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-11",99.34857,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-12",99.39181,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-01",99.5686,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-02",99.88876,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-03",100.2882,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-04",100.7535,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-05",101.2508,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-06",101.7399,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-07",102.2193,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-08",102.6094,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-09",102.9112,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-10",103.0923,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-11",103.1356,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-12",103.0926,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-01",103.0079,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-02",102.8971,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-03",102.8018,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-04",102.7415,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-05",102.74,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-06",102.8168,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-07",102.9004,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-08",102.9358,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-09",102.8812,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-10",102.7114,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-11",102.5192,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-12",102.4138,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-01",102.4289,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-02",102.5549,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-03",102.7263,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-04",102.7747,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-05",102.5492,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-06",102.038,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-07",101.4121,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-08",100.8379,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-09",100.388,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-10",100.0241,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-11",99.67171,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-12",99.31973,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-01",98.96371,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-02",98.59638,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-03",98.19272,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-04",97.75397,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-05",97.37846,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-06",97.07298,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-07",96.83394,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-08",96.68787,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-09",96.68787,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-10",96.81187,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-11",97.06912,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-12",97.43842,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-01",97.8965,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-02",98.37737,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-03",98.82935,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-04",99.16382,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-05",99.3118,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-06",99.27821,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-07",99.13915,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-08",98.94272,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-09",98.76696,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-10",98.62556,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-11",98.51959,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-12",98.44147,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-01",98.43098,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-02",98.51577,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-03",98.63605,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-04",98.73286,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-05",98.82388,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-06",98.95718,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-07",99.16043,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-08",99.41106,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-09",99.69378,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-10",99.99834,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-11",100.2476,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-12",100.4557,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-01",100.6595,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-02",100.86,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-03",101.0839,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-04",101.3167,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-05",101.5308,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-06",101.7227,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-07",101.858,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-08",101.9099,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-09",101.888,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-10",101.8743,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-11",101.8584,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-12",101.8442,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-01",101.8232,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-02",101.7748,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-03",101.6665,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-04",101.5039,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-05",101.268,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-06",100.9967,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-07",100.7467,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-08",100.5804,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-09",100.4716,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-10",100.381,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-11",100.3215,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-12",100.2698,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-01",100.2137,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-02",100.0689,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-03",99.9277,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-04",99.79485,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-05",99.68313,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-06",99.61363,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-07",99.58887,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-08",99.61237,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-09",99.65182,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-10",99.69597,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-11",99.72269,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-12",99.72337,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-01",99.69968,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-02",99.69568,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-03",99.73431,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-04",99.80814,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-05",99.86582,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-06",99.91807,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-07",99.95805,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-08",100.0012,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-09",100.0678,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-10",100.2038,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-11",100.4332,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-12",100.7631,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1987-01",101.2085,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1987-02",101.5807,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1987-03",101.9659,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1987-04",102.3361,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1987-05",102.6347,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1987-06",102.7958,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1987-07",102.7865,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1987-08",102.6334,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1987-09",102.3798,
